Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Pipistrellus pipistrellus,1,A3,08/07/2018,03:10:58,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:11:31,55.15971667,-3.157716667
Pipistrellus spp.,1,A3,08/07/2018,03:13:54,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:16:06,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:16:57,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:17:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:17:14,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:17:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:18:32,55.15971667,-3.157716667
Pipistrellus spp.,1,A3,08/07/2018,03:21:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:23:02,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:23:58,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:32:39,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,08/07/2018,03:33:20,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,03:44:09,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,03:44:22,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,03:44:25,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,07/07/2018,23:41:36,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,23:51:33,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,23:51:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,23:51:43,55.15971667,-3.157716667
Nyctalus noctula,1,A3,07/07/2018,23:54:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:02:09,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:02:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:02:23,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:03:15,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,09/07/2018,00:03:15,55.15971667,-3.157716667
Pipistrellus pipistrellus,2,A3,09/07/2018,00:03:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:03:27,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,09/07/2018,00:03:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:03:33,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:07:00,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,09/07/2018,00:07:22,55.15971667,-3.157716667
Nyctalus noctula,1,A3,09/07/2018,00:42:47,55.15971667,-3.157716667
Nyctalus noctula,1,A3,09/07/2018,00:42:58,55.15971667,-3.157716667
Nyctalus noctula,1,A3,09/07/2018,00:43:03,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,08/07/2018,23:30:24,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,08/07/2018,23:32:10,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,08/07/2018,23:32:37,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,08/07/2018,23:32:55,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,08/07/2018,23:37:32,55.15971667,-3.157716667
Nyctalus noctula,1,A3,08/07/2018,23:42:17,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,00:04:33,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,00:09:54,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,00:13:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,00:18:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,00:37:08,55.15971667,-3.157716667
Myotis spp.,1,A3,10/07/2018,01:09:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,01:15:12,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,01:21:25,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,01:21:40,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,02:23:05,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,02:23:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,02:23:26,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,02:23:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,02:23:59,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,10/07/2018,02:49:12,55.15971667,-3.157716667
Nyctalus noctula,1,A3,09/07/2018,23:17:40,55.15971667,-3.157716667
Nyctalus noctula,1,A3,09/07/2018,23:20:46,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,11/07/2018,00:06:45,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,11/07/2018,01:13:17,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,11/07/2018,01:49:26,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,11/07/2018,03:17:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:15:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:16:04,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:16:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:19:57,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:20:06,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:21:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:23:42,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,10/07/2018,23:26:22,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:26:52,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:27:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:28:18,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:29:13,55.15971667,-3.157716667
Pipistrellus nathusii,1,A3,10/07/2018,23:29:13,55.15971667,-3.157716667
Pipistrellus pipistrellus,2,A3,10/07/2018,23:32:05,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:38:53,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:39:29,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:42:37,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:48:39,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,10/07/2018,23:52:46,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,10/07/2018,23:58:36,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,10/07/2018,23:59:35,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,12/07/2018,00:02:44,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,12/07/2018,00:29:13,55.15971667,-3.157716667
Nyctalus noctula,1,A3,12/07/2018,00:31:32,55.15971667,-3.157716667
Myotis spp.,1,A3,12/07/2018,00:57:46,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,11/07/2018,22:58:52,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,11/07/2018,23:02:54,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,00:09:37,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,00:29:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,00:45:06,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,00:55:12,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,00:59:23,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,00:59:39,55.15971667,-3.157716667
Myotis spp.,1,A3,13/07/2018,01:04:36,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,02:56:27,55.15971667,-3.157716667
Nyctalus noctula,1,A3,12/07/2018,23:08:40,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,12/07/2018,23:40:51,55.15971667,-3.157716667
Nyctalus noctula,1,A3,12/07/2018,23:47:52,55.15971667,-3.157716667
Nyctalus noctula,1,A3,12/07/2018,23:47:56,55.15971667,-3.157716667
Nyctalus noctula,1,A3,12/07/2018,23:47:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,2,A3,14/07/2018,00:00:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:00:25,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:00:35,55.15971667,-3.157716667
Pipistrellus spp.,1,A3,14/07/2018,00:01:12,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:01:19,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:01:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:01:31,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:01:42,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:01:47,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,14/07/2018,00:01:58,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,14/07/2018,00:02:21,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,14/07/2018,00:03:01,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,14/07/2018,00:05:36,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:11:00,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:12:07,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:18:56,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:19:05,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:19:14,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:19:21,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:19:31,55.15971667,-3.157716667
Nyctalus noctula,1,A3,14/07/2018,00:19:47,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:22:47,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,00:34:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,14/07/2018,02:33:27,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,14/07/2018,02:59:35,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,22:50:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:00:34,55.15971667,-3.157716667
Pipistrellus pygmaeus,1,A3,13/07/2018,23:05:51,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:06:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:06:38,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:07:52,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:13,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:29,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:37,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:42,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:08:55,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:09:08,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:09:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:10:21,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:10:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:11:02,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:07,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:13:45,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:14:50,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:17:15,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:17:15,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:17:21,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:22:26,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:22:28,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:24:49,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:25:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:27:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:27:59,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:30:03,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:28,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:43,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:30:51,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:20,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:27,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:34,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:31:46,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,13/07/2018,23:35:22,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,13/07/2018,23:35:27,55.15971667,-3.157716667
Nyctalus noctula,1,A3,13/07/2018,23:35:31,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:36:22,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:49:11,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:51:52,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:54:30,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:57:41,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:58:37,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:58:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,13/07/2018,23:59:45,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,15/07/2018,00:28:41,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,15/07/2018,00:28:57,55.15971667,-3.157716667
Nyctalus leisleri,1,A3,14/07/2018,23:33:32,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:04:48,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:06:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:10:21,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:10:42,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:13:44,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:14:24,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:15:25,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:01,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:10,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:16:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:17:49,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:17:59,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:18:35,55.15971667,-3.157716667
Pipistrellus pipistrellus,1,A3,17/07/2018,00:18:48,55.15971667,-3.157716667
